OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.0796267701494604,0.2599033459659911,1.202854205735562*(x-0.07962677014946044)*(x-0.07962677014946044)*(x-0.07962677014946044)+2.67853085035761*(x-0.07962677014946044)*(x-0.07962677014946044)-1.8788135572153426*(x-0.07962677014946044)+1.3475802485603947
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.2599033459659911,0.3399447776603769,64.06927618308258*(x-0.2599033459659911)*(x-0.2599033459659911)*(x-0.2599033459659911)-2.721220529607953*(x-0.2599033459659911)*(x-0.2599033459659911)-0.7957838177261316*(x-0.2599033459659911)+1.1029729043528482
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.3399447776603769,0.4305298927464422,-16.987849516437215*(x-0.33994477766037695)*(x-0.33994477766037695)*(x-0.33994477766037695)+2.308269455266835*(x-0.33994477766037695)*(x-0.33994477766037695)+0.0*(x-0.33994477766037695)+1.0546978352178082
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.4305298927464422,0.5312633864845013,98.56210333573732*(x-0.4305298927464422)*(x-0.4305298927464422)*(x-0.4305298927464422)-14.892757528770645*(x-0.4305298927464422)*(x-0.4305298927464422)+0.0*(x-0.4305298927464422)+1.061011462363339
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.5312633864845013,0.6315946038132183,-16.870157446266486*(x-0.5312633864845013)*(x-0.5312633864845013)*(x-0.5312633864845013)+2.5389051496665536*(x-0.5312633864845013)*(x-0.5312633864845013)+0.0*(x-0.5312633864845013)+1.0106380168087492
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.6315946038132183,0.7214985553264648,142.04550940326376*(x-0.6315946038132183)*(x-0.6315946038132183)*(x-0.6315946038132183)-19.155678885098133*(x-0.6315946038132183)*(x-0.6315946038132183)+0.0*(x-0.6315946038132183)+1.0191571887765347
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.7214985553264648,0.8019142694504137,-140.7949812870322*(x-0.7214985553264648)*(x-0.7214985553264648)*(x-0.7214985553264648)+16.983193447897065*(x-0.7214985553264648)*(x-0.7214985553264648)+0.0*(x-0.7214985553264648)+0.9675471893192453
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8019142694504137,0.8835365597457054,87.21854894592833*(x-0.8019142694504137)*(x-0.8019142694504137)*(x-0.8019142694504137)-14.250808731840298*(x-0.8019142694504137)*(x-0.8019142694504137)+0.0*(x-0.8019142694504137)+1.0041555218571747
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.8835365597457054,0.9817243968916752,-0.006699606281781963*(x-0.8835365597457054)*(x-0.8835365597457054)*(x-0.8835365597457054)-0.010746322910411409*(x-0.8835365597457054)*(x-0.8835365597457054)-0.5831654960097161*(x-0.8835365597457054)+0.9566418496144017
shape,iterativefit,central,5,0.0,2.5,50.0,70.0,0.9817243968916752,1.1,0.8992721452177658
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,-15.0,0.0,1.3750384775099151
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0,0.0721529024685998,1.3750384775099151
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.0721529024685998,0.2395858774863915,17.623119974269443*(x-0.07215290246859986)*(x-0.07215290246859986)*(x-0.07215290246859986)+3.117161438622826*(x-0.07215290246859986)*(x-0.07215290246859986)-2.525960348151342*(x-0.07215290246859986)+1.3750384775099151
shape,iterativefit,central,5,0.0,2.5,70.0,100.0,0.2395858774863915,0.3296341455790709,-12.913700096229965*(x-0.23958587748639157)*(x-0.23958587748639157)*(x-0.23958587748639157)+1.744284492500662*(x-0.23958587748639157)*(x-0.23958587748639157)+0.0*(x-0.23958587748639157)+1.1222144015444773
